Sno,Date,State/UnionTerritory,total_confirmed,Cured,Deaths,,
1769,09/05/20,Uttar Pradesh,3214,1387,66,,
1770,09/05/20,West Bengal,1678,364,160,,
1771,10/05/20,Andaman and Nicobar Islands,33,33,0,,
1772,10/05/20,Andhra Pradesh,1930,887,44,,
1773,10/05/20,Arunachal Pradesh,1,1,0,,
1774,10/05/20,Assam,63,34,2,,
1775,10/05/20,Bihar,591,322,5,,
1776,10/05/20,Chandigarh,169,24,2,,
1777,10/05/20,Chhattisgarh,59,43,0,,
1778,10/05/20,Dadar Nagar Haveli,1,0,0,,
1779,10/05/20,Delhi,6542,2020,73,,
1780,10/05/20,Goa,7,7,0,,
1781,10/05/20,Gujarat,7796,2091,472,,
1782,10/05/20,Haryana,675,290,9,,
1783,10/05/20,Himachal Pradesh,50,38,2,,
1784,10/05/20,Jammu and Kashmir,836,368,9,,
1785,10/05/20,Jharkhand,156,78,3,,
1786,10/05/20,Karnataka,794,386,30,,
1787,10/05/20,Kerala,505,485,4,,
1788,10/05/20,Ladakh,42,17,0,,
1789,10/05/20,Madhya Pradesh,3614,1676,215,,
1790,10/05/20,Maharashtra,20228,3800,779,,
1791,10/05/20,Manipur,2,2,0,,
1792,10/05/20,Meghalaya,13,10,1,,
1793,10/05/20,Mizoram,1,1,0,,
1794,10/05/20,Odisha,294,63,2,,
1795,10/05/20,Puducherry,9,6,0,,
1796,10/05/20,Punjab,1762,157,31,,
1797,10/05/20,Rajasthan,3708,2026,106,,
1798,10/05/20,Tamil Nadu,6535,1824,44,,
1799,10/05/20,Telengana,1163,750,30,,
1800,10/05/20,Tripura,134,2,0,,
1801,10/05/20,Uttarakhand,67,46,1,,
1802,10/05/20,Uttar Pradesh,3373,1499,74,,
1803,10/05/20,West Bengal,1786,372,171,,
1804,11/05/20,Andaman and Nicobar Islands,33,33,0,,
1805,11/05/20,Andhra Pradesh,1980,925,45,,
1806,11/05/20,Arunachal Pradesh,1,1,0,,
1807,11/05/20,Assam,63,34,2,,
1808,11/05/20,Bihar,696,365,6,,
1809,11/05/20,Chandigarh,169,24,2,,
1810,11/05/20,Chhattisgarh,59,49,0,,
1811,11/05/20,Dadar Nagar Haveli,1,0,0,,
1812,11/05/20,Delhi,6923,2069,73,,
1813,11/05/20,Goa,7,7,0,,
1814,11/05/20,Gujarat,8194,2545,493,,
1815,11/05/20,Haryana,703,300,10,,
1816,11/05/20,Himachal Pradesh,55,39,2,,
1817,11/05/20,Jammu and Kashmir,861,383,9,,
1818,11/05/20,Jharkhand,157,78,3,,
1819,11/05/20,Karnataka,848,424,31,,
1820,11/05/20,Kerala,512,489,4,,
1821,11/05/20,Ladakh,42,21,0,,
1822,11/05/20,Madhya Pradesh,3614,1676,215,,
1823,11/05/20,Maharashtra,22171,4199,832,,
1824,11/05/20,Manipur,2,2,0,,
1825,11/05/20,Meghalaya,13,10,1,,
1826,11/05/20,Mizoram,1,1,0,,
1827,11/05/20,Odisha,377,68,3,,
1828,11/05/20,Puducherry,9,6,0,,
1829,11/05/20,Punjab,1823,166,31,,
1830,11/05/20,Rajasthan,3814,2176,107,,
1831,11/05/20,Tamil Nadu,7204,1959,47,,
1832,11/05/20,Telengana,1196,750,30,,
1833,11/05/20,Tripura,150,2,0,,
1834,11/05/20,Uttarakhand,68,46,1,,
1835,11/05/20,Uttar Pradesh,3467,1653,74,,
1836,11/05/20,West Bengal,1939,417,185,,
1837,12/05/20,Andaman and Nicobar Islands,33,33,0,,
1838,12/05/20,Andhra Pradesh,2018,975,45,,
1839,12/05/20,Arunachal Pradesh,1,1,0,,
1840,12/05/20,Assam,65,34,2,,
1841,12/05/20,Bihar,747,377,6,,
1842,12/05/20,Chandigarh,174,24,2,,
1843,12/05/20,Chhattisgarh,59,53,0,,
1844,12/05/20,Dadar Nagar Haveli,1,0,0,,
1845,12/05/20,Delhi,7233,2129,73,,
1846,12/05/20,Goa,7,7,0,,
1847,12/05/20,Gujarat,8541,2780,513,,
1848,12/05/20,Haryana,730,337,11,,
1849,12/05/20,Himachal Pradesh,59,39,2,,
1850,12/05/20,Jammu and Kashmir,879,427,10,,
1851,12/05/20,Jharkhand,160,78,3,,
1852,12/05/20,Karnataka,862,426,31,,
1853,12/05/20,Kerala,519,489,4,,
1854,12/05/20,Ladakh,42,21,0,,
1855,12/05/20,Madhya Pradesh,3785,1747,221,,
1856,12/05/20,Maharashtra,23401,4786,868,,
1857,12/05/20,Manipur,2,2,0,,
1858,12/05/20,Meghalaya,13,10,1,,
1859,12/05/20,Mizoram,1,1,0,,
1860,12/05/20,Odisha,414,85,3,,
1861,12/05/20,Puducherry,12,6,0,,
1862,12/05/20,Punjab,1877,168,31,,
1863,12/05/20,Rajasthan,3988,2264,113,,
1864,12/05/20,Tamil Nadu,8002,2051,53,,
1865,12/05/20,Telengana,1275,800,30,,
1866,12/05/20,Tripura,152,2,0,,
1867,12/05/20,Uttarakhand,68,46,1,,
1868,12/05/20,Uttar Pradesh,3573,1758,80,,
1869,12/05/20,West Bengal,2063,499,190,,
1870,13/05/20,Andaman and Nicobar Islands,33,33,0,,
1871,13/05/20,Andhra Pradesh,2090,1056,46,,
1872,13/05/20,Arunachal Pradesh,1,1,0,,
1873,13/05/20,Assam,65,39,2,,
1874,13/05/20,Bihar,831,383,6,,
1875,13/05/20,Chandigarh,187,28,3,,
1876,13/05/20,Chhattisgarh,59,54,0,,
1877,13/05/20,Dadar Nagar Haveli,1,0,0,,
1878,13/05/20,Delhi,7639,2512,86,,
1879,13/05/20,Goa,7,7,0,,
1880,13/05/20,Gujarat,8903,3246,537,,
1881,13/05/20,Haryana,780,342,11,,
1882,13/05/20,Himachal Pradesh,65,39,2,,
1883,13/05/20,Jammu and Kashmir,934,455,10,,
1884,13/05/20,Jharkhand,172,79,3,,
1885,13/05/20,Karnataka,925,433,31,,
1886,13/05/20,Kerala,524,489,4,,
1887,13/05/20,Ladakh,42,21,0,,
1888,13/05/20,Madhya Pradesh,3986,1860,225,,
1889,13/05/20,Maharashtra,24427,5125,921,,
1890,13/05/20,Manipur,2,2,0,,
1891,13/05/20,Meghalaya,13,10,1,,
1892,13/05/20,Mizoram,1,1,0,,
1893,13/05/20,Odisha,437,116,3,,
1894,13/05/20,Puducherry,13,9,1,,
1895,13/05/20,Punjab,1914,171,32,,
1896,13/05/20,Rajasthan,4126,2378,117,,
1897,13/05/20,Tamil Nadu,8718,2134,61,,
1898,13/05/20,Telengana,1326,830,32,,
1899,13/05/20,Tripura,154,2,0,,
1900,13/05/20,Uttarakhand,69,46,1,,
1901,13/05/20,Uttar Pradesh,3664,1873,82,,
1902,13/05/20,West Bengal,2173,612,198,,
1903,14/05/20,Andaman and Nicobar Islands,33,33,0,,
1904,14/05/20,Andhra Pradesh,2137,1142,47,,
1905,14/05/20,Arunachal Pradesh,1,1,0,,
1906,14/05/20,Assam,80,39,2,,
1907,14/05/20,Bihar,940,388,7,,
1908,14/05/20,Chandigarh,187,28,3,,
1909,14/05/20,Chhattisgarh,59,55,0,,
1910,14/05/20,Dadar Nagar Haveli,1,0,0,,
1911,14/05/20,Delhi,7998,2858,106,,
1912,14/05/20,Goa,7,7,0,,
1913,14/05/20,Gujarat,9267,3562,566,,
1914,14/05/20,Haryana,793,418,11,,
1915,14/05/20,Himachal Pradesh,66,39,2,,
1916,14/05/20,Jammu and Kashmir,971,466,11,,
1917,14/05/20,Jharkhand,173,79,3,,
1918,14/05/20,Karnataka,959,451,33,,
1919,14/05/20,Kerala,534,490,4,,
1920,14/05/20,Ladakh,43,22,0,,
1921,14/05/20,Madhya Pradesh,4173,2004,232,,
1922,14/05/20,Maharashtra,25922,5547,975,,
1923,14/05/20,Manipur,2,2,0,,
1924,14/05/20,Meghalaya,13,10,1,,
1925,14/05/20,Mizoram,1,1,0,,
1926,14/05/20,Odisha,538,143,3,,
1927,14/05/20,Puducherry,13,9,1,,
1928,14/05/20,Punjab,1924,200,32,,
1929,14/05/20,Rajasthan,4328,2459,121,,
1930,14/05/20,Tamil Nadu,9227,2176,64,,
1931,14/05/20,Telengana,1367,940,34,,
1932,14/05/20,Tripura,155,16,0,,
1933,14/05/20,Uttarakhand,72,46,1,,
1934,14/05/20,Uttar Pradesh,3729,1902,83,,
1935,14/05/20,West Bengal,2290,702,207,,
1936,15/05/20,Andaman and Nicobar Islands,33,33,0,,
1937,15/05/20,Andhra Pradesh,2205,1192,48,,
1938,15/05/20,Arunachal Pradesh,1,1,0,,
1939,15/05/20,Assam,87,39,2,,
1940,15/05/20,Bihar,994,411,7,,
1941,15/05/20,Chandigarh,191,37,3,,
1942,15/05/20,Chhattisgarh,60,56,0,,
1943,15/05/20,Dadar Nagar Haveli,1,0,0,,
1944,15/05/20,Delhi,8470,3045,115,,
1945,15/05/20,Goa,14,7,0,,
1946,15/05/20,Gujarat,9591,3753,586,,
1947,15/05/20,Haryana,818,439,11,,
1948,15/05/20,Himachal Pradesh,74,39,2,,
1949,15/05/20,Jammu and Kashmir,983,485,11,,
1950,15/05/20,Jharkhand,197,87,3,,
1951,15/05/20,Karnataka,987,460,35,,
1952,15/05/20,Kerala,560,491,4,,
1953,15/05/20,Ladakh,43,22,0,,
1954,15/05/20,Madhya Pradesh,4426,2171,237,,
1955,15/05/20,Maharashtra,27524,6059,1019,,
1956,15/05/20,Manipur,3,2,0,,
1957,15/05/20,Meghalaya,13,11,1,,
1958,15/05/20,Mizoram,1,1,0,,
1959,15/05/20,Odisha,611,158,3,,
1960,15/05/20,Puducherry,13,9,1,,
1961,15/05/20,Punjab,1935,223,32,,
1962,15/05/20,Rajasthan,4534,2580,125,,
1963,15/05/20,Tamil Nadu,9674,2240,66,,
1964,15/05/20,Telengana,1414,950,34,,
1965,15/05/20,Tripura,156,29,0,,
1966,15/05/20,Uttarakhand,78,50,1,,
1967,15/05/20,Uttar Pradesh,3902,2072,88,,
1968,15/05/20,West Bengal,2377,768,215,,
1969,16/05/20,Andaman and Nicobar Islands,33,33,0,,
1970,16/05/20,Andhra Pradesh,2307,1252,48,,
1971,16/05/20,Arunachal Pradesh,1,1,0,,
1972,16/05/20,Assam,90,41,2,,
1973,16/05/20,Bihar,1018,438,7,,
1974,16/05/20,Chandigarh,191,37,3,,
1975,16/05/20,Chhattisgarh,66,56,0,,
1976,16/05/20,Dadar Nagar Haveli,1,0,0,,
1977,16/05/20,Delhi,8895,3518,123,,
1978,16/05/20,Goa,15,7,0,,
1979,16/05/20,Gujarat,9931,4035,606,,
1980,16/05/20,Haryana,818,439,11,,
1981,16/05/20,Himachal Pradesh,76,39,3,,
1982,16/05/20,Jammu and Kashmir,1013,513,11,,
1983,16/05/20,Jharkhand,203,87,3,,
1984,16/05/20,Karnataka,1056,480,36,,
1985,16/05/20,Kerala,576,492,4,,
1986,16/05/20,Ladakh,43,22,0,,
1987,16/05/20,Madhya Pradesh,4595,2283,239,,
1988,16/05/20,Maharashtra,29100,6564,1068,,
1989,16/05/20,Manipur,3,2,0,,
1990,16/05/20,Meghalaya,13,11,1,,
1991,16/05/20,Mizoram,1,1,0,,
1992,16/05/20,Odisha,672,166,3,,
1993,16/05/20,Puducherry,13,9,1,,
1994,16/05/20,Punjab,1935,305,32,,
1995,16/05/20,Rajasthan,4727,2677,125,,
1996,16/05/20,Tamil Nadu,10108,2599,71,,
1997,16/05/20,Telengana,1454,959,34,,
1998,16/05/20,Tripura,156,42,0,,
1999,16/05/20,Uttarakhand,82,51,1,,
2000,16/05/20,Uttar Pradesh,4057,2165,95,,
2001,16/05/20,West Bengal,2461,829,225,,
2002,17/05/20,Andaman and Nicobar Islands,33,33,0,,
2003,17/05/20,Andhra Pradesh,2355,1353,49,,
2004,17/05/20,Arunachal Pradesh,1,1,0,,
2005,17/05/20,Assam,92,41,2,,
2006,17/05/20,Bihar,1179,453,7,,
2007,17/05/20,Chandigarh,191,51,3,,
2008,17/05/20,Chhattisgarh,67,56,0,,
2009,17/05/20,Dadar Nagar Haveli,1,0,0,,
2010,17/05/20,Delhi,9333,3926,129,,
2011,17/05/20,Goa,17,7,0,,
2012,17/05/20,Gujarat,10988,4308,625,,
2013,17/05/20,Haryana,887,514,13,,
2014,17/05/20,Himachal Pradesh,78,43,3,,
2015,17/05/20,Jammu and Kashmir,1121,542,12,,
2016,17/05/20,Jharkhand,217,113,3,,
2017,17/05/20,Karnataka,1092,496,36,,
2018,17/05/20,Kerala,587,495,4,,
2019,17/05/20,Ladakh,43,22,0,,
2020,17/05/20,Madhya Pradesh,4789,2315,243,,
2021,17/05/20,Maharashtra,30706,7088,1135,,
2022,17/05/20,Manipur,7,2,0,,
2023,17/05/20,Meghalaya,13,11,1,,
2024,17/05/20,Mizoram,1,1,0,,
2025,17/05/20,Odisha,737,196,3,,
2026,17/05/20,Puducherry,13,9,1,,
2027,17/05/20,Punjab,1946,1257,32,,
2028,17/05/20,Rajasthan,4960,2839,126,,
2029,17/05/20,Tamil Nadu,10585,3538,74,,
2030,17/05/20,Telengana,1509,971,34,,
2031,17/05/20,Tripura,167,64,0,,
2032,17/05/20,Uttarakhand,88,51,1,,
2033,17/05/20,Uttar Pradesh,4258,2441,104,,
2034,17/05/20,West Bengal,2576,872,232,,
2035,18/05/20,Andaman and Nicobar Islands,33,33,0,,
2036,18/05/20,Andhra Pradesh,2407,1456,50,,
2037,18/05/20,Arunachal Pradesh,1,1,0,,
2038,18/05/20,Assam,101,41,2,,
2039,18/05/20,Bihar,1262,475,8,,
2040,18/05/20,Chandigarh,191,51,3,,
2041,18/05/20,Chhattisgarh,86,59,0,,
2042,18/05/20,Dadar Nagar Haveli,1,0,0,,
2043,18/05/20,Delhi,10054,4485,160,,
2044,18/05/20,Goa,29,7,0,,
2045,18/05/20,Gujarat,11379,4499,659,,
2046,18/05/20,Haryana,910,562,14,,
2047,18/05/20,Himachal Pradesh,80,44,3,,
2048,18/05/20,Jammu and Kashmir,1183,575,13,,
2049,18/05/20,Jharkhand,223,113,3,,
2050,18/05/20,Karnataka,1147,509,37,,
2051,18/05/20,Kerala,601,497,4,,
2052,18/05/20,Ladakh,43,24,0,,
2053,18/05/20,Madhya Pradesh,4977,2403,248,,
2054,18/05/20,Maharashtra,33053,7688,1198,,
2055,18/05/20,Manipur,7,2,0,,
2056,18/05/20,Meghalaya,13,11,1,,
2057,18/05/20,Mizoram,1,1,0,,
2058,18/05/20,Odisha,828,220,4,,
2059,18/05/20,Puducherry,13,9,1,,
2060,18/05/20,Punjab,1964,1366,35,,
2061,18/05/20,Rajasthan,5202,2992,131,,
2062,18/05/20,Tamil Nadu,11224,4172,78,,
2063,18/05/20,Telengana,1551,992,34,,
2064,18/05/20,Tripura,167,85,0,,
2065,18/05/20,Uttarakhand,92,52,1,,
2066,18/05/20,Uttar Pradesh,4259,2441,104,,
2067,18/05/20,West Bengal,2677,959,238,,
2068,19/05/20,Andaman and Nicobar Islands,33,33,0,,
2069,19/05/20,Andhra Pradesh,2474,1552,50,,
2070,19/05/20,Arunachal Pradesh,1,1,0,,
2071,19/05/20,Assam,107,41,2,,
2072,19/05/20,Bihar,1391,494,9,,
2073,19/05/20,Chandigarh,196,54,3,,
2074,19/05/20,Chhattisgarh,93,59,0,,
2075,19/05/20,Dadar Nagar Haveli,1,0,0,,
2076,19/05/20,Delhi,10054,4485,168,,
2077,19/05/20,Goa,38,7,0,,
2078,19/05/20,Gujarat,11745,4804,694,,
2079,19/05/20,Haryana,928,598,14,,
2080,19/05/20,Himachal Pradesh,90,44,3,,
2081,19/05/20,Jammu and Kashmir,1289,609,15,,
2082,19/05/20,Jharkhand,223,113,3,,
2083,19/05/20,Karnataka,1246,530,37,,
2084,19/05/20,Kerala,630,497,4,,
2085,19/05/20,Ladakh,43,41,0,,
2086,19/05/20,Madhya Pradesh,5236,2435,252,,
2087,19/05/20,Maharashtra,35058,8437,1249,,
2088,19/05/20,Manipur,7,2,0,,
2089,19/05/20,Meghalaya,13,11,1,,
2090,19/05/20,Mizoram,1,1,0,,
2091,19/05/20,Odisha,876,220,4,,
2092,19/05/20,Puducherry,18,9,1,,
2093,19/05/20,Punjab,1980,1547,37,,
2094,19/05/20,Rajasthan,5507,3218,138,,
2095,19/05/20,Tamil Nadu,11760,4406,81,,
2096,19/05/20,Telengana,1597,1000,35,,
2097,19/05/20,Tripura,167,85,0,,
2098,19/05/20,Uttarakhand,93,52,1,,
2099,19/05/20,Uttar Pradesh,4605,2783,118,,
2100,19/05/20,West Bengal,2825,1006,244,,
2101,20/05/20,Andaman and Nicobar Islands,33,33,0,,
2102,20/05/20,Andhra Pradesh,2532,1621,52,,
2103,20/05/20,Arunachal Pradesh,1,1,0,,
2104,20/05/20,Assam,142,41,4,,
2105,20/05/20,Bihar,1498,534,9,,
2106,20/05/20,Chandigarh,200,57,3,,
2107,20/05/20,Chhattisgarh,101,59,0,,
2108,20/05/20,Dadar Nagar Haveli,1,0,0,,
2109,20/05/20,Delhi,10554,4750,168,,
2110,20/05/20,Goa,46,7,0,,
2111,20/05/20,Gujarat,12140,5043,719,,
2112,20/05/20,Haryana,964,627,14,,
2113,20/05/20,Himachal Pradesh,92,47,3,,
2114,20/05/20,Jammu and Kashmir,1317,653,17,,
2115,20/05/20,Jharkhand,231,127,3,,
2116,20/05/20,Karnataka,1397,544,40,,
2117,20/05/20,Kerala,642,497,4,,
2118,20/05/20,Ladakh,43,43,0,,
2119,20/05/20,Madhya Pradesh,5465,2630,258,,
2120,20/05/20,Maharashtra,37136,9639,1325,,
2121,20/05/20,Manipur,9,2,0,,
2122,20/05/20,Meghalaya,13,12,1,,
2123,20/05/20,Mizoram,1,1,0,,
2124,20/05/20,Odisha,978,277,5,,
2125,20/05/20,Puducherry,18,9,1,,
2126,20/05/20,Punjab,2002,1642,38,,
2127,20/05/20,Rajasthan,5845,3337,143,,
2128,20/05/20,Tamil Nadu,12448,4895,84,,
2129,20/05/20,Telengana,1634,1010,38,,
2130,20/05/20,Tripura,173,116,0,,
2131,20/05/20,Uttarakhand,111,52,1,,
2132,20/05/20,Uttar Pradesh,4926,2918,123,,
2133,20/05/20,West Bengal,2961,1074,250,,
2134,20/05/20,Cases being reassigned to states,1096,0,0,,
2135,21/05/20,Andaman and Nicobar Islands,33,33,0,,
2136,21/05/20,Andhra Pradesh,2602,1640,53,,
2137,21/05/20,Arunachal Pradesh,1,1,0,,
2138,21/05/20,Assam,170,48,4,,
2139,21/05/20,Bihar,1674,571,10,,
2140,21/05/20,Chandigarh,202,57,3,,
2141,21/05/20,Chhattisgarh,115,59,0,,
2142,21/05/20,Dadar Nagar Haveli,1,0,0,,
2143,21/05/20,Delhi,11088,5192,176,,
2144,21/05/20,Goa,50,7,0,,
2145,21/05/20,Gujarat,12537,5219,749,,
2146,21/05/20,Haryana,993,648,14,,
2147,21/05/20,Himachal Pradesh,110,54,3,,
2148,21/05/20,Jammu and Kashmir,1390,678,18,,
2149,21/05/20,Jharkhand,231,127,3,,
2150,21/05/20,Karnataka,1462,556,41,,
2151,21/05/20,Kerala,666,502,4,,
2152,21/05/20,Ladakh,44,43,0,,
2153,21/05/20,Madhya Pradesh,5735,2733,267,,
2154,21/05/20,Maharashtra,39297,10318,1390,,
2155,21/05/20,Manipur,25,2,0,,
2156,21/05/20,Meghalaya,14,12,1,,
2157,21/05/20,Mizoram,1,1,0,,
2158,21/05/20,Odisha,1052,307,6,,
2159,21/05/20,Puducherry,18,9,0,,
2160,21/05/20,Punjab,2005,1794,38,,
2161,21/05/20,Rajasthan,6015,3404,147,,
2162,21/05/20,Tamil Nadu,13191,5882,87,,
2163,21/05/20,Telengana,1661,1015,40,,
2164,21/05/20,Tripura,173,133,0,,
2165,21/05/20,Uttarakhand,122,53,1,,
2166,21/05/20,Uttar Pradesh,5175,3066,127,,
2167,21/05/20,West Bengal,3103,1136,253,,
2168,21/05/20,Cases being reassigned to states,1403,0,0,,
2169,22/05/20,Andaman and Nicobar Islands,33,33,0,,
2170,22/05/20,Andhra Pradesh,2647,1709,53,,
2171,22/05/20,Arunachal Pradesh,1,1,0,,
2172,22/05/20,Assam,203,54,4,,
2173,22/05/20,Bihar,1982,593,11,,
2174,22/05/20,Chandigarh,217,139,3,,
2175,22/05/20,Chhattisgarh,128,59,0,,
2176,22/05/20,Dadar Nagar Haveli,1,0,0,,
2177,22/05/20,Delhi,11659,5567,194,,
2178,22/05/20,Goa,52,7,0,,
2179,22/05/20,Gujarat,12905,5488,773,,
2180,22/05/20,Haryana,1031,681,15,,
2181,22/05/20,Himachal Pradesh,152,59,3,,
2182,22/05/20,Jammu and Kashmir,1449,684,20,,
2183,22/05/20,Jharkhand,290,129,3,,
2184,22/05/20,Karnataka,1605,571,41,,
2185,22/05/20,Kerala,690,510,4,,
2186,22/05/20,Ladakh,44,43,0,,
2187,22/05/20,Madhya Pradesh,5981,2843,270,,
2188,22/05/20,Maharashtra,41642,11726,1454,,
2189,22/05/20,Manipur,25,2,0,,
2190,22/05/20,Meghalaya,14,12,1,,
2191,22/05/20,Mizoram,1,1,0,,
2192,22/05/20,Odisha,1103,393,7,,
2193,22/05/20,Puducherry,20,10,0,,
2194,22/05/20,Punjab,2028,1819,39,,
2195,22/05/20,Rajasthan,6227,3485,151,,
2196,22/05/20,Tamil Nadu,13967,6282,94,,
2197,22/05/20,Telengana,1699,1035,45,,
2198,22/05/20,Tripura,173,148,0,,
2199,22/05/20,Uttarakhand,146,54,1,,
2200,22/05/20,Uttar Pradesh,5515,3204,138,,
2201,22/05/20,West Bengal,3197,1193,259,,
2202,22/05/20,Cases being reassigned to states,1620,0,0,,
2203,23/05/20,Andaman and Nicobar Islands,33,33,0,,
2204,23/05/20,Andhra Pradesh,2709,1763,55,,
2205,23/05/20,Arunachal Pradesh,1,1,0,,
2206,23/05/20,Assam,259,54,4,,
2207,23/05/20,Bihar,2177,629,11,,
2208,23/05/20,Chandigarh,218,178,3,,
2209,23/05/20,Chhattisgarh,172,62,0,,
2210,23/05/20,Dadar Nagar Haveli,1,0,0,,
2211,23/05/20,Delhi,12319,5897,208,,
2212,23/05/20,Goa,54,16,0,,
2213,23/05/20,Gujarat,13268,5880,802,,
2214,23/05/20,Haryana,1067,706,16,,
2215,23/05/20,Himachal Pradesh,168,59,3,,
2216,23/05/20,Jammu and Kashmir,1489,720,20,,
2217,23/05/20,Jharkhand,308,136,3,,
2218,23/05/20,Karnataka,1743,597,41,,
2219,23/05/20,Kerala,732,512,4,,
2220,23/05/20,Ladakh,44,43,0,,
2221,23/05/20,Madhya Pradesh,6170,3089,272,,
2222,23/05/20,Maharashtra,44582,12583,1517,,
2223,23/05/20,Manipur,26,2,0,,
2224,23/05/20,Meghalaya,14,12,1,,
2225,23/05/20,Mizoram,1,1,0,,
2226,23/05/20,Odisha,1189,436,7,,
2227,23/05/20,Puducherry,26,10,0,,
2228,23/05/20,Punjab,2029,1847,39,,
2229,23/05/20,Rajasthan,6494,3680,153,,
2230,23/05/20,Tamil Nadu,14753,7128,98,,
2231,23/05/20,Telengana,1761,1043,45,,
2232,23/05/20,Tripura,175,152,0,,
2233,23/05/20,Uttarakhand,153,56,1,,
2234,23/05/20,Uttar Pradesh,5735,3238,152,,
2235,23/05/20,West Bengal,3332,1221,265,,
2236,23/05/20,Cases being reassigned to states,1899,0,0,,
2237,24/05/20,Andaman and Nicobar Islands,33,33,0,,
2238,24/05/20,Andhra Pradesh,2757,1809,56,,
2239,24/05/20,Arunachal Pradesh,1,1,0,,
2240,24/05/20,Assam,329,55,4,,
2241,24/05/20,Bihar,2380,653,11,,
2242,24/05/20,Chandigarh,225,179,3,,
2243,24/05/20,Chhattisgarh,214,64,0,,
2244,24/05/20,Dadar Nagar Haveli,2,0,0,,
2245,24/05/20,Delhi,12910,6267,231,,
2246,24/05/20,Goa,55,16,0,,
2247,24/05/20,Gujarat,13664,6169,829,,
2248,24/05/20,Haryana,1131,750,16,,
2249,24/05/20,Himachal Pradesh,185,61,3,,
2250,24/05/20,Jammu and Kashmir,1569,774,21,,
2251,24/05/20,Jharkhand,350,141,4,,
2252,24/05/20,Karnataka,1959,608,42,,
2253,24/05/20,Kerala,795,515,4,,
2254,24/05/20,Ladakh,49,43,0,,
2255,24/05/20,Madhya Pradesh,6371,3267,281,,
2256,24/05/20,Maharashtra,47190,13404,1577,,
2257,24/05/20,Manipur,29,4,0,,
2258,24/05/20,Meghalaya,14,12,1,,
2259,24/05/20,Mizoram,1,1,0,,
2260,24/05/20,Odisha,1269,497,7,,
2261,24/05/20,Puducherry,26,10,0,,
2262,24/05/20,Punjab,2045,1870,39,,
2263,24/05/20,Rajasthan,6742,3786,160,,
2264,24/05/20,Sikkim,1,0,0,,
2265,24/05/20,Tamil Nadu,15512,7491,103,,
2266,24/05/20,Telengana,1813,1065,49,,
2267,24/05/20,Tripura,189,153,0,,
2268,24/05/20,Uttarakhand,244,56,2,,
2269,24/05/20,Uttar Pradesh,6017,3406,155,,
2270,24/05/20,West Bengal,3459,1281,269,,
2271,24/05/20,Cases being reassigned to states,2338,0,0,,
2272,25/05/20,Andaman and Nicobar Islands,33,33,0,,
2273,25/05/20,Andhra Pradesh,2823,1856,56,,
2274,25/05/20,Arunachal Pradesh,1,1,0,,
2275,25/05/20,Assam,378,55,4,,
2276,25/05/20,Bihar,2587,702,13,,
2277,25/05/20,Chandigarh,238,186,3,,
2278,25/05/20,Chhattisgarh,252,67,0,,
2279,25/05/20,Dadar Nagar Haveli,2,0,0,,
2280,25/05/20,Delhi,13418,6540,261,,
2281,25/05/20,Goa,66,19,0,,
2282,25/05/20,Gujarat,14056,6412,858,,
2283,25/05/20,Haryana,1184,765,16,,
2284,25/05/20,Himachal Pradesh,203,63,3,,
2285,25/05/20,Jammu and Kashmir,1621,809,21,,
2286,25/05/20,Jharkhand,370,148,4,,
2287,25/05/20,Karnataka,2089,654,42,,
2288,25/05/20,Kerala,847,521,4,,
2289,25/05/20,Ladakh,52,43,0,,
2290,25/05/20,Madhya Pradesh,6665,3408,290,,
2291,25/05/20,Maharashtra,50231,14600,1635,,
2292,25/05/20,Manipur,32,4,0,,
2293,25/05/20,Meghalaya,14,12,1,,
2294,25/05/20,Mizoram,1,1,0,,
2295,25/05/20,Odisha,1336,550,7,,
2296,25/05/20,Puducherry,41,12,0,,
2297,25/05/20,Punjab,2060,1898,40,,
2298,25/05/20,Rajasthan,7028,3848,163,,
2299,25/05/20,Sikkim,1,0,0,,
2300,25/05/20,Tamil Nadu,16277,8324,111,,
2301,25/05/20,Telengana,1854,1090,53,,
2302,25/05/20,Tripura,191,165,0,,
2303,25/05/20,Uttarakhand,317,58,3,,
2304,25/05/20,Uttar Pradesh,6268,3538,161,,
2305,25/05/20,West Bengal,3667,1339,272,,
2306,25/05/20,Cases being reassigned to states,2642,0,0,,
2307,26/05/20,Andaman and Nicobar Islands,33,33,0,,
2308,26/05/20,Andhra Pradesh,3110,1896,56,,
2309,26/05/20,Arunachal Pradesh,2,1,0,,
2310,26/05/20,Assam,526,62,4,,
2311,26/05/20,Bihar,2730,749,13,,
2312,26/05/20,Chandigarh,238,186,3,,
2313,26/05/20,Chhattisgarh,291,72,0,,
2314,26/05/20,Dadar Nagar Haveli,2,0,0,,
2315,26/05/20,Delhi,14053,6771,276,,
2316,26/05/20,Goa,67,19,0,,
2317,26/05/20,Gujarat,14460,6636,888,,
2318,26/05/20,Haryana,1184,765,16,,
2319,26/05/20,Himachal Pradesh,223,67,5,,
2320,26/05/20,Jammu and Kashmir,1668,809,23,,
2321,26/05/20,Jharkhand,377,148,4,,
2322,26/05/20,Karnataka,2182,705,44,,
2323,26/05/20,Kerala,896,532,5,,
2324,26/05/20,Ladakh,52,43,0,,
2325,26/05/20,Madhya Pradesh,6859,3571,300,,
2326,26/05/20,Maharashtra,52667,15786,1695,,
